timestamp,machine_running,production_count,temperature_c,alarm_active
2026-07-29 10:48:12,Desligada,6,25.0,Normal
2026-07-29 10:48:13,Desligada,6,25.0,Normal
2026-07-29 10:48:14,Desligada,6,25.0,Normal
2026-07-29 10:48:15,Desligada,6,25.0,Normal
2026-07-29 10:48:16,Desligada,6,25.0,Normal
2026-07-29 10:48:17,Desligada,6,25.0,Normal
2026-07-29 10:48:18,Desligada,6,25.0,Normal
2026-07-29 10:48:19,Desligada,6,25.0,Normal
2026-07-29 10:48:20,Ligada,6,26.0,Normal
2026-07-29 10:48:21,Ligada,6,27.0,Normal
2026-07-29 10:48:22,Ligada,7,28.0,Normal
2026-07-29 10:48:23,Ligada,7,29.0,Normal
2026-07-29 10:48:24,Ligada,8,30.0,Normal
2026-07-29 10:48:25,Ligada,8,31.0,Normal
2026-07-29 10:48:26,Ligada,9,32.0,Normal
2026-07-29 10:48:27,Ligada,9,33.0,Normal
2026-07-29 10:48:28,Ligada,10,34.0,Normal
2026-07-29 10:48:29,Ligada,10,35.0,Normal
2026-07-29 10:48:31,Ligada,11,36.0,Normal
2026-07-29 10:48:32,Ligada,11,37.0,Normal
2026-07-29 10:48:33,Ligada,12,38.0,Normal
2026-07-29 10:48:34,Ligada,13,39.0,Normal
2026-07-29 10:48:35,Ligada,13,40.0,Normal
2026-07-29 10:48:36,Ligada,14,41.0,Normal
2026-07-29 10:48:37,Ligada,14,42.0,Normal
2026-07-29 10:48:38,Ligada,15,43.0,Normal
2026-07-29 10:48:39,Ligada,15,44.0,Normal
2026-07-29 10:48:40,Desligada,16,45.0,Ativo
2026-07-29 10:48:41,Desligada,16,44.5,Ativo
2026-07-29 10:48:42,Desligada,16,44.0,Ativo
2026-07-29 10:48:43,Desligada,16,43.5,Ativo
2026-07-29 10:48:44,Desligada,16,43.5,Ativo
2026-07-29 10:48:45,Desligada,16,43.0,Ativo
2026-07-29 10:48:46,Desligada,16,42.5,Ativo
2026-07-29 10:48:47,Desligada,16,42.0,Ativo
2026-07-29 10:48:48,Desligada,16,41.5,Ativo
2026-07-29 10:48:49,Desligada,16,41.0,Ativo
2026-07-29 10:48:50,Desligada,16,40.5,Ativo
2026-07-29 11:43:33,Desligada,0,25.0,Normal
2026-07-29 11:43:34,Desligada,0,25.0,Normal
2026-07-29 11:43:35,Desligada,0,25.0,Normal
2026-07-29 11:43:36,Desligada,0,25.0,Normal
2026-07-29 11:43:37,Desligada,0,25.0,Normal
2026-07-29 11:43:38,Desligada,0,25.0,Normal
2026-07-29 11:43:39,Desligada,0,25.0,Normal
2026-07-29 11:43:40,Desligada,0,25.0,Normal
2026-07-29 11:43:41,Ligada,0,26.0,Normal
2026-07-29 11:43:43,Ligada,0,27.0,Normal
2026-07-29 11:43:44,Ligada,1,28.0,Normal
2026-07-29 11:43:45,Ligada,1,29.0,Normal
2026-07-29 11:43:46,Ligada,2,30.0,Normal
2026-07-29 11:43:47,Ligada,2,31.0,Normal
2026-07-29 11:43:48,Ligada,3,32.0,Normal
2026-07-29 11:43:49,Ligada,3,33.0,Normal
2026-07-29 11:43:50,Ligada,4,34.0,Normal
2026-07-29 11:43:51,Ligada,4,35.0,Normal
2026-07-29 11:43:52,Ligada,5,36.0,Normal
2026-07-29 11:43:53,Ligada,5,37.0,Normal
2026-07-29 11:43:54,Ligada,6,38.0,Normal
2026-07-29 11:43:55,Ligada,6,39.0,Normal
2026-07-29 11:43:56,Ligada,7,40.0,Normal
2026-07-29 11:43:57,Ligada,7,41.0,Normal
2026-07-29 11:43:58,Ligada,8,42.0,Normal
2026-07-29 11:43:59,Ligada,8,43.0,Normal
2026-07-29 11:44:00,Ligada,9,44.0,Normal
2026-07-29 11:44:02,Desligada,9,45.0,Ativo
2026-07-29 11:44:03,Desligada,9,44.5,Ativo
2026-07-29 11:44:04,Desligada,9,44.0,Ativo
2026-07-29 11:44:05,Desligada,9,43.5,Ativo
2026-07-29 11:44:06,Desligada,9,43.0,Ativo
2026-07-29 11:44:07,Desligada,9,42.5,Ativo
2026-07-29 11:44:08,Desligada,9,42.0,Ativo
2026-07-29 11:44:09,Desligada,9,41.5,Ativo
2026-07-29 11:44:10,Desligada,9,41.0,Ativo
2026-07-29 11:44:11,Desligada,9,40.5,Ativo
2026-07-29 11:44:12,Desligada,9,40.0,Normal
2026-07-29 11:44:13,Desligada,9,39.5,Normal
2026-07-29 11:44:14,Desligada,9,39.0,Normal
2026-07-29 11:44:15,Desligada,9,38.5,Normal
2026-07-29 11:44:16,Desligada,9,38.0,Normal
2026-07-29 11:44:17,Desligada,9,37.5,Normal
2026-07-29 11:44:18,Desligada,9,37.0,Normal
2026-07-29 11:44:19,Desligada,9,36.5,Normal
2026-07-29 11:44:20,Desligada,9,36.0,Normal
2026-07-29 11:44:21,Desligada,9,35.5,Normal
2026-07-29 11:44:22,Desligada,9,35.0,Normal
2026-07-29 11:44:23,Desligada,9,34.5,Normal
2026-07-29 11:44:24,Desligada,9,34.0,Normal
2026-07-29 11:44:25,Desligada,9,33.5,Normal
2026-07-29 11:44:26,Desligada,9,33.0,Normal
2026-07-29 11:44:27,Desligada,9,32.5,Normal
2026-07-29 11:44:28,Desligada,9,32.0,Normal
2026-07-29 11:44:29,Desligada,9,31.5,Normal
2026-07-29 11:44:31,Desligada,9,31.0,Normal
2026-07-29 11:44:32,Desligada,9,30.5,Normal
2026-07-29 11:44:33,Desligada,9,30.0,Normal
